YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueTypeID,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,TopicID,QuestionID,ResponseID,LocationID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2013,2013,CA,California,YRBSS,Alcohol,Alcohol use among youth,,%,CrdPrev,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,"(37.63864012300047, -120.99999953799971)",ALC,ALC1_1,,06,OVERALL,OVR,,,,
2013,2013,CO,Colorado,YRBSS,Alcohol,Alcohol use among youth,,%,CrdPrev,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,"(38.843840757000464, -106.13361092099967)",ALC,ALC1_1,,08,OVERALL,OVR,,,,
2013,2013,CT,Connecticut,YRBSS,Alcohol,Alcohol use among youth,,%,CrdPrev,Crude Prevalence,36.7,36.7,,,32.7,41,Overall,Overall,,,,,"(41.56266102000046, -72.64984095199964)",ALC,ALC1_1,,09,OVERALL,OVR,,,,
2013,2013,DC,District of Columbia,YRBSS,Alcohol,Alcohol use among youth,,%,CrdPrev,Crude Prevalence,31.4,31.4,,,30.2,32.5,Overall,Overall,,,,,"(38.907192, -77.036871)",ALC,ALC1_1,,11,OVERALL,OVR,,,,
2013,2013,DE,Delaware,YRBSS,Alcohol,Alcohol use among youth,,%,CrdPrev,Crude Prevalence,36.3,36.3,,,33.7,39,Overall,Overall,,,,,"(39.008830667000495, -75.57774116799965)",ALC,ALC1_1,,10,OVERALL,OVR,,,,
2013,2013,FL,Florida,YRBSS,Alcohol,Alcohol use among youth,,%,CrdPrev,Crude Prevalence,34.8,34.8,,,33.1,36.6,Overall,Overall,,,,,"(28.932040377000476, -81.92896053899966)",ALC,ALC1_1,,12,OVERALL,OVR,,,,
2013,2013,GA,Georgia,YRBSS,Alcohol,Alcohol use among youth,,%,CrdPrev,Crude Prevalence,27.9,27.9,,,23.8,32.3,Overall,Overall,,,,,"(32.83968109300048, -83.62758034599966)",ALC,ALC1_1,,13,OVERALL,OVR,,,,
2013,2013,GU,Guam,YRBSS,Alcohol,Alcohol use among youth,,%,CrdPrev,Crude Prevalence,23.5,23.5,,,20.3,27,Overall,Overall,,,,,"(13.444304, 144.793731)",ALC,ALC1_1,,66,OVERALL,OVR,,,,
2013,2013,HI,Hawaii,YRBSS,Alcohol,Alcohol use among youth,,%,CrdPrev,Crude Prevalence,25.2,25.2,,,21.9,28.8,Overall,Overall,,,,,"(21.304850435000446, -157.85774940299973)",ALC,ALC1_1,,15,OVERALL,OVR,,,,
2013,2013,IA,Iowa,YRBSS,Alcohol,Alcohol use among youth,,%,CrdPrev,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,"(42.46940091300047, -93.81649055599968)",ALC,ALC1_1,,19,OVERALL,OVR,,,,
2013,2013,ID,Idaho,YRBSS,Alcohol,Alcohol use among youth,,%,CrdPrev,Crude Prevalence,28.3,28.3,,,24,33,Overall,Overall,,,,,"(43.682630005000476, -114.3637300419997)",ALC,ALC1_1,,16,OVERALL,OVR,,,,
2013,2013,IL,Illinois,YRBSS,Alcohol,Alcohol use among youth,,%,CrdPrev,Crude Prevalence,36.6,36.6,,,31.8,41.6,Overall,Overall,,,,,"(40.48501028300046, -88.99771017799969)",ALC,ALC1_1,,17,OVERALL,OVR,,,,
